Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,id,Valid
RVSN USSR,Kazakhstan,1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success,1,1
RVSN USSR,Kazakhstan,1957,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success,2,1
US Navy,USA,1957,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure,3,1
AMBA,USA,1958,03:48:00,Juno I,Explorer 1,Retired,,Success,4,1
US Navy,USA,1958,07:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure,5,1
AMBA,USA,1958,18:27:00,Juno I,Explorer 2,Retired,,Failure,6,1
US Navy,USA,1958,12:15:00,Vanguard,Vanguard 1,Retired,,Success,7,1
AMBA,USA,1958,17:38:00,Juno I,Explorer 3,Retired,,Success,8,1
RVSN USSR,Kazakhstan,1958,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure,9,1
US Navy,USA,1958,02:53:00,Vanguard,Vanguard TV5,Retired,,Failure,10,1
RVSN USSR,Kazakhstan,1958,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success,11,1
US Navy,USA,1958,03:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure,12,1
US Navy,USA,1958,05:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure,13,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure,14,1
AMBA,USA,1958,15:00:00,Juno I,Explorer 4,Retired,,Success,15,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure,16,1
US Air Force,USA,1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure,17,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure,18,1
AMBA,USA,1958,06:17:00,Juno I,Explorer 5,Retired,,Failure,19,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure,20,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure,21,1
US Navy,USA,1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure,22,1
RVSN USSR,Kazakhstan,1958,07:40:00,Vostok,E-1 nâ Â­1 (Luna-1),Retired,,Failure,23,1
US Navy,USA,1958,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure,24,1
NASA,USA,1958,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure,25,1
RVSN USSR,Kazakhstan,1958,21:41:00,Vostok,E-1 nâ Â­2 (Luna-1),Retired,,Failure,26,1
AMBA,USA,1958,03:21:00,Juno I,Beacon 1,Retired,,Failure,27,1
NASA,USA,1958,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure,28,1
RVSN USSR,Kazakhstan,1958,18:18:00,Vostok,E-1 nâ Â­3 (Luna-1),Retired,,Failure,29,1
AMBA,USA,1958,05:44:00,Juno II,Pioneer 3,Retired,,Partial Failure,30,1
US Air Force,USA,1958,23:02:00,SM-65B Atlas,SCORE,Retired,,Success,31,1
RVSN USSR,Kazakhstan,1959,16:41:00,Vostok,Luna-1,Retired,,Partial Failure,32,1
US Navy,USA,1959,15:55:00,Vanguard,Vanguard 2,Retired,,Success,33,1
US Air Force,USA,1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure,34,1
US Air Force,USA,1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success,35,1
US Navy,USA,1959,02:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure,36,1
US Air Force,USA,1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure,37,1
RVSN USSR,Kazakhstan,1959,08:08:00,Vostok,E-1A nâ Â­1 (Luna-2),Retired,,Failure,38,1
US Navy,USA,1959,20:16:00,Vanguard,Vanguard SLV-6,Retired,,Failure,39,1
US Air Force,USA,1959,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,,Failure,40,1
US Air Force,USA,1959,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,,Success,41,1
US Air Force,USA,1959,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,,Success,42,1
US Air Force,USA,1959,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,,Success,43,1
NASA,USA,1959,08:19:00,Atlas-D Mercury,Big Joe 1,Retired,,Partial Failure,44,1
RVSN USSR,Kazakhstan,1959,06:39:00,Vostok,Luna-2,Retired,,Success,45,1
US Air Force,USA,1959,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,,Failure,46,1
US Navy,USA,1959,05:20:00,Vanguard,Vanguard 3,Retired,,Partial Failure,47,1
RVSN USSR,Kazakhstan,1959,00:43:00,Vostok,Luna-3,Retired,,Success,48,1
US Air Force,USA,1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,,Success,49,1
US Air Force,USA,1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,,Failure,50,1
General Dynamics,USA,1959,07:26:00,Atlas-D Able,Pioneer P-3,Retired,,Failure,51,1
US Air Force,USA,1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,,Failure,52,1
US Air Force,USA,1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,,Failure,53,1
General Dynamics,USA,1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,,Failure,54,1
US Air Force,USA,1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,,Success,55,1
US Air Force,USA,1960,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,,Success,56,1
US Air Force,USA,1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,,Success,57,1
RVSN USSR,Kazakhstan,1960,15:06:00,Vostok,E-3 nâ Â­2 (Luna-3),Retired,,Failure,58,1
US Air Force,USA,1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,,Success,59,1
RVSN USSR,Kazakhstan,1960,,Vostok,E-3 nâ Â­3 (Luna-3),Retired,,Failure,60,1
US Air Force,USA,1960,09:16:00,Thor DM-19 Delta,Echo 1,Retired,,Failure,61,1
RVSN USSR,Kazakhstan,1960,00:00:00,Vostok,Korabl-Sputnik 1,Retired,,Success,62,1
General Dynamics,USA,1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,,Success,63,1
US Air Force,USA,1960,05:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,,Success,64,1
US Air Force,USA,1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,,Failure,65,1
RVSN USSR,Kazakhstan,1960,09:31:00,Vostok,1K nâ Â­2 (Korabl-Sputnik 2),Retired,,Failure,66,1
NASA,USA,1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure,67,1
US Air Force,USA,1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,,Success,68,1
US Air Force,USA,1960,09:39:00,Thor DM-19 Delta,Echo 1A,Retired,,Success,69,1
US Air Force,USA,1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,,Success,70,1
US Air Force,USA,1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,,Failure,71,1
RVSN USSR,Kazakhstan,1960,08:44:00,Vostok,Korabl-Sputnik 2,Retired,,Success,72,1
US Air Force,USA,1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,,Success,73,1
General Dynamics,USA,1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,,Failure,74,1
US Air Force,USA,1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,,Success,75,1
RVSN USSR,Kazakhstan,1960,14:27:00,Molniya,1M nâ Â­1 (Marsnik 1),Retired,,Failure,76,1
General Dynamics,USA,1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,,Failure,77,1
RVSN USSR,Kazakhstan,1960,13:51:00,Molniya,1M nâ Â­2 (Marsnik 2),Retired,,Failure,78,1
US Air Force,USA,1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,,Failure,79,1
US Air Force,USA,1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,,Success,80,1
NASA,USA,1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure,81,1
US Air Force,USA,1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,,Success,82,1
US Air Force,USA,1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,,Failure,83,1
RVSN USSR,Kazakhstan,1960,07:30:00,Vostok,Korabl-Sputnik 3,Retired,,Success,84,1
NASA,USA,1960,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure,85,1
US Air Force,USA,1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,,Success,86,1
General Dynamics,USA,1960,09:10:00,Atlas-D Able,Pioneer P-31,Retired,,Failure,87,1
NASA,USA,1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success,88,1
US Air Force,USA,1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,,Success,89,1
RVSN USSR,Kazakhstan,1960,07:45:00,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),Retired,,Failure,90,1
NASA,USA,1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success,91,1
General Dynamics,USA,1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,,Success,92,1
RVSN USSR,Kazakhstan,1961,01:18:00,Molniya,1VA nâ Â­1 (Venera 1),Retired,,Failure,93,1
RVSN USSR,Kazakhstan,1961,00:34:00,Molniya,Venera 1,Retired,,Success,94,1
NASA,USA,1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success,95,1
US Air Force,USA,1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,,Success,96,1
US Air Force,USA,1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,,Success,97,1
NASA,USA,1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success,98,1
US Air Force,USA,1961,03:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,,Success,99,1
RVSN USSR,Kazakhstan,1961,06:29:00,Vostok,Korabl-Sputnik 4,Retired,,Success,100,1
NASA,USA,1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success,101,1
RVSN USSR,Kazakhstan,1961,05:54:00,Vostok,Korabl-Sputnik 5,Retired,,Success,102,1
US Air Force,USA,1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,,Success,103,1
US Air Force,USA,1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,,Failure,104,1
US Air Force,USA,1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,,Success,105,1
RVSN USSR,Kazakhstan,1961,06:07:00,Vostok,Vostok 1,Retired,,Success,106,1
NASA,USA,1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure,107,1
NASA,USA,1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success,108,1
US Air Force,USA,1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,,Failure,109,1
US Air Force,USA,1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,,Success,110,1
US Air Force,USA,1961,04:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,,Success,111,1
NASA,USA,1961,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure,112,1
US Air Force,USA,1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,,Success,113,1
US Air Force,USA,1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,,Success,114,1
General Dynamics,USA,1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,,Success,115,1
NASA,USA,1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success,116,1
US Air Force,USA,1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,,Failure,117,1
US Air Force,USA,1961,00:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,,Failure,118,1
RVSN USSR,Kazakhstan,1961,06:00:00,Vostok,Vostok 2,Retired,,Success,119,1
US Air Force,USA,1961,03:21:00,Thor DM-19 Delta,Explorer 12,Retired,,Success,120,1
General Dynamics,USA,1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,,Failure,121,1
NASA,USA,1961,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure,122,1
US Air Force,USA,1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,,Success,123,1
General Dynamics,USA,1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,,Failure,124,1
US Air Force,USA,1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,,Success,125,1
NASA,USA,1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success,126,1
US Air Force,USA,1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,,Success,127,1
US Air Force,USA,1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,,Success,128,1
General Dynamics,USA,1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,,Partial Failure,129,1
US Air Force,USA,1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,,Failure,130,1
RVSN USSR,Russia,1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure,131,1
NASA,USA,1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure,132,1
US Air Force,USA,1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,,Failure,133,1
US Air Force,USA,1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,,Success,134,1
US Air Force,USA,1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,,Success,135,1
General Dynamics,USA,1961,08:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,,Failure,136,1
General Dynamics,USA,1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,,Failure,137,1
NASA,USA,1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success,138,1
RVSN USSR,Kazakhstan,1961,09:39:00,Vostok,Zenit-2 nâ Â­1,Retired,,Failure,139,1
US Air Force,USA,1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,,Success,140,1
RVSN USSR,Russia,1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure,141,1
General Dynamics,USA,1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,,Partial Failure,142,1
US Air Force,USA,1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,,Failure,143,1
US Air Force,USA,1962,09:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,,Failure,144,1
General Dynamics,USA,1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,,Partial Failure,145,1
US Air Force,USA,1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,,Success,146,1
NASA,USA,1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success,147,1
US Air Force,USA,1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,,Partial Failure,148,1
US Air Force,USA,1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,,Success,149,1
US Air Force,USA,1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,,Success,150,1
General Dynamics,USA,1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,,Success,151,1
RVSN USSR,Russia,1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success,152,1
RVSN USSR,Russia,1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success,153,1
General Dynamics,USA,1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,,Success,154,1
US Air Force,USA,1962,00:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,,Success,155,1
General Dynamics,USA,1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,,Success,156,1
RVSN USSR,Russia,1962,04:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success,157,1
RVSN USSR,Kazakhstan,1962,10:02:00,Vostok,Cosmos 4,Retired,,Success,158,1
NASA,USA,1962,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure,159,1
US Air Force,USA,1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,,Success,160,1
General Dynamics,USA,1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,,Success,161,1
US Air Force,USA,1962,00:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,,Success,162,1
General Dynamics,USA,1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,,Failure,163,1
US Air Force,USA,1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,,Failure,164,1
US Air Force,USA,1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,,Success,165,1
NASA,USA,1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success,166,1
US Air Force,USA,1962,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,,Failure,167,1
RVSN USSR,Russia,1962,03:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success,168,1
US Air Force,USA,1962,01:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,,Success,169,1
RVSN USSR,Kazakhstan,1962,09:37:00,Vostok-2,Zenit-2 nâ Â­3,Retired,,Failure,170,1
US Air Force,USA,1962,00:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,,Success,171,1
General Dynamics,USA,1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,,Success,172,1
US Air Force,USA,1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,,Success,173,1
US Air Force,USA,1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,,Success,174,1
US Air Force,USA,1962,00:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,,Success,175,1
US Air Force,USA,1962,01:09:00,Thor DM-21 Agena-D,FTV 1151,Retired,,Success,176,1
RVSN USSR,Russia,1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,,Success,177,1
US Air Force,USA,1962,08:35:00,Thor DM-19 Delta,Telstar 1,Retired,,Success,178,1
General Dynamics,USA,1962,20:15:00,Atlas-LV3 Agena-B,Samos 9,Retired,,Success,179,1
US Air Force,USA,1962,00:56:00,Thor DM-21 Agena-B,FTV 1130,Retired,,Success,180,1
General Dynamics,USA,1962,09:21:00,Atlas-LV3 Agena-B,Mariner 1,Retired,,Failure,181,1
US Air Force,USA,1962,00:30:00,Thor DM-21 Agena-B,FTV 1131,Retired,,Success,182,1
RVSN USSR,Kazakhstan,1962,09:18:00,Vostok-2,Cosmos 7,Retired,,Success,183,1
US Air Force,USA,1962,00:17:00,Thor DM-21 Agena-D,FTV 1152,Retired,,Success,184,1
General Dynamics,USA,1962,17:59:00,Atlas-LV3 Agena-B,Samos 10,Retired,,Success,185,1
RVSN USSR,Kazakhstan,1962,08:30:00,Vostok,Vostok 3,Retired,,Success,186,1
RVSN USSR,Kazakhstan,1962,08:02:00,Vostok,Vostok 4,Retired,,Success,187,1
RVSN USSR,Russia,1962,15:00:00,Cosmos-2I (63S1),Cosmos 8,Retired,,Success,188,1
US Air Force,USA,1962,11:44:00,Scout X-2M,DSAP-1 F2 (Program 35),Retired,,Success,189,1
RVSN USSR,Kazakhstan,1962,02:56:00,Molniya,2MV-1 nâ Â­1 (Venera 2),Retired,,Failure,190,1
General Dynamics,USA,1962,06:53:00,Atlas-LV3 Agena-B,Mariner 2,Retired,,Success,191,1
US Air Force,USA,1962,01:00:00,Thor DM-21 Agena-D,FTV 1153,Retired,,Success,192,1
RVSN USSR,Kazakhstan,1962,02:12:00,Molniya,2MV-1 nâ Â­2 (Venera 2),Retired,,Failure,193,1
US Air Force,USA,1962,20:39:00,Thor DM-21 Agena-B,FTV 1132,Retired,,Success,194,1
RVSN USSR,Kazakhstan,1962,00:59:00,Molniya,2MV-2 nâ Â­1 (Venera 2),Retired,,Failure,195,1
US Air Force,USA,1962,23:46:00,Thor DM-21 Agena-B,FTV 1133 & ERS-2,Retired,,Success,196,1
US Air Force,USA,1962,08:53:00,Thor DM-19 Delta,TIROS-6,Retired,,Success,197,1
RVSN USSR,Kazakhstan,1962,09:40:00,Vostok-2,Cosmos 9,Retired,,Success,198,1
US Air Force,USA,1962,06:05:00,Thor DM-21 Agena-B,Alouette 1 & TAVE,Retired,,Success,199,1
US Air Force,USA,1962,23:34:00,Thor DM-21 Agena-D,FTV 1154,Retired,,Success,200,1
US Air Force,USA,1962,22:11:00,Delta A,Explorer 14,Retired,,Success,201,1
NASA,USA,1962,09:13:00,Atlas-D Mercury,Sigma 7 (MA-8),Retired,,Success,202,1
US Air Force,USA,1962,18:35:00,Thor DM-21 Agena-B,FTV 1134,Retired,,Success,203,1
RVSN USSR,Kazakhstan,1962,09:00:00,Vostok-2,Cosmos 10,Retired,,Success,204,1
General Dynamics,USA,1962,16:59:00,Atlas-LV3 Agena-B,Ranger 5,Retired,,Success,205,1
RVSN USSR,Russia,1962,04:00:00,Cosmos-2I (63S1),Cosmos 11,Retired,,Success,206,1
RVSN USSR,Kazakhstan,1962,17:55:00,Molniya,2MV-4 nâ Â­1 (Mars 1),Retired,,Failure,207,1
RVSN USSR,Russia,1962,07:00:00,Cosmos-2I (63S1),1MS #2,Retired,,Failure,208,1
US Air Force,USA,1962,16:14:00,Thor DM-21 Agena-D,STARAD,Retired,,Success,209,1
US Air Force,USA,1962,23:15:00,Delta A,Explorer 15,Retired,,Success,210,1
US Air Force,USA,1962,08:08:00,Thor-DM21 Ablestar,ANNA 1B,Retired,,Success,211,1
RVSN USSR,Kazakhstan,1962,16:14:00,Molniya,Mars 1,Retired,,Success,212,1
RVSN USSR,Kazakhstan,1962,15:35:00,Molniya,2MV-3 nâ Â­1 (Mars 2),Retired,,Failure,213,1
US Air Force,USA,1962,22:04:00,Thor DM-21 Agena-B,FTV 1136,Retired,,Success,214,1
General Dynamics,USA,1962,20:17:00,Atlas-LV3 Agena-B,Samos 11,Retired,,Success,215,1
US Air Force,USA,1962,22:01:00,Thor DM-21 Agena-B,FTV 1135,Retired,,Success,216,1
US Air Force,USA,1962,21:30:00,Thor DM-21 Agena-D,FTV 1155,Retired,,Success,217,1
US Air Force,USA,1962,04:07:00,Thor DM-21 Agena-D,Injun 3 & Others,Retired,,Success,218,1
US Air Force,USA,1962,23:30:00,Delta B,Relay 1,Retired,,Success,219,1
US Air Force,USA,1962,21:26:00,Thor DM-21 Agena-D,FTV 1156,Retired,,Success,220,1
NASA,USA,1962,14:33:00,Scout X-3,Explorer 16 (S-55B),Retired,,Success,221,1
General Dynamics,USA,1962,20:36:00,Atlas-LV3 Agena-B,Midas 6,Retired,,Failure,222,1
US Air Force,USA,1962,01:25:00,Scout X-3,Transit-5A 1,Retired,,Success,223,1
RVSN USSR,Kazakhstan,1962,09:24:00,Vostok-2,Cosmos 12,Retired,,Success,224,1
RVSN USSR,Kazakhstan,1963,08:49:00,Molniya,E-6 nâ Â­1 (Luna 4),Retired,,Failure,225,1
RVSN USSR,Kazakhstan,1963,09:29:00,Molniya,E-6 nâ Â­2 (Luna 4),Retired,,Failure,226,1
US Air Force,USA,1963,16:33:00,Scout X-3M,DSAP-1 F3 (Program 35),Retired,,Success,227,1
RVSN USSR,Kazakhstan,1963,08:30:00,Vostok-2,Cosmos 13,Retired,,Success,228,1
RVSN USSR,Kazakhstan,1963,08:04:00,Molniya,Luna 4,Retired,,Success,229,1
US Air Force,USA,1963,03:01:00,Scout X-3,Transit-5A 2,Retired,,Failure,230,1
RVSN USSR,Russia,1963,03:01:00,Cosmos-2I (63S1),DS-P1 #2,Retired,,Failure,231,1
RVSN USSR,Russia,1963,11:00:00,Cosmos-2I (63S1),Cosmos 14,Retired,,Success,232,1
RVSN USSR,Kazakhstan,1963,08:30:00,Vostok-2,Cosmos 15,Retired,,Success,233,1
US Air Force,USA,1963,,Scout X-2M,DSAP-1 F4 (Program 35),Retired,,Failure,234,1
RVSN USSR,Kazakhstan,1963,08:49:00,Vostok-2,Cosmos 16,Retired,,Success,235,1
General Dynamics,USA,1963,20:06:00,Atlas-LV3 Agena-B,Midas 7,Retired,,Success,236,1
NASA,USA,1963,13:04:00,Atlas-D Mercury,Faith 7 (MA-9),Retired,,Success,237,1
RVSN USSR,Russia,1963,03:00:00,Cosmos-2I (63S1),Cosmos 17,Retired,,Success,238,1
RVSN USSR,Kazakhstan,1963,10:34:00,Vostok-2,Cosmos 18,Retired,,Success,239,1
RVSN USSR,Russia,1963,,Cosmos-2I (63S1),DS-MT #1,Retired,,Failure,240,1
General Dynamics,USA,1963,,Atlas-LV3 Agena-B,Midas 8,Retired,,Failure,241,1
RVSN USSR,Kazakhstan,1963,11:58:00,Vostok,Vostok 5,Retired,,Success,242,1
US Air Force,USA,1963,01:49:00,Scout X-3,Transit-5A 3,Retired,,Success,243,1
RVSN USSR,Kazakhstan,1963,09:29:00,Vostok,Vostok 6,Retired,,Success,244,1
US Air Force,USA,1963,21:19:00,Scout X-4,CRL-1 (GRS),Retired,,Success,245,1
RVSN USSR,Kazakhstan,1963,10:03:00,Vostok-2,Zenit-2 nâ Â­12,Retired,,Failure,246,1
General Dynamics,USA,1963,20:46:00,Atlas-LV3 Agena-D,KH-7 Gambit 4001,Retired,,Success,247,1
General Dynamics,USA,1963,03:51:00,Atlas-LV3 Agena-B,Midas 9,Retired,,Success,248,1
RVSN USSR,Russia,1963,06:00:00,Cosmos-2I (63S1),Cosmos 19,Retired,,Success,249,1
RVSN USSR,Russia,1963,06:00:00,Cosmos-2I (63S1),DS-A1 #3,Retired,,Failure,250,1
General Dynamics,USA,1963,19:30:00,Atlas-LV3 Agena-D,KH-7 Gambit 4002,Retired,,Success,251,1
US Air Force,USA,1963,11:17:00,Scout X-2B,DSAP-1 F5 (Program 35),Retired,,Failure,252,1
General Dynamics,USA,1963,02:37:00,Atlas-LV3 Agena-D,Vela 1A/1B,Retired,,Success,253,1
RVSN USSR,Kazakhstan,1963,09:29:00,Vostok-2,Cosmos 20,Retired,,Success,254,1
RVSN USSR,Russia,1963,04:30:00,Cosmos-2I (63S1),DS-A1 #4,Retired,,Failure,255,1
General Dynamics,USA,1963,18:59:00,Atlas-LV3 Agena-D,KH-7 Gambit 4003,Retired,,Success,256,1
RVSN USSR,Kazakhstan,1963,08:56:00,Poliot,Poliot-1,Retired,,Success,257,1
RVSN USSR,Kazakhstan,1963,06:23:00,Molniya,Cosmos 21,Retired,,Success,258,1
RVSN USSR,Kazakhstan,1963,10:34:00,Voskhod,Cosmos 22,Retired,,Success,259,1
General Dynamics,USA,1963,19:03:00,Atlas-LV3C Centaur-B,AC-2 (Test Vehicle),Retired,,Success,260,1
RVSN USSR,Kazakhstan,1963,09:19:00,Vostok-2,Zenit-2 nâ Â­14,Retired,,Failure,261,1
RVSN USSR,Russia,1963,14:15:00,Cosmos-2I (63S1),Cosmos 23,Retired,,Success,262,1
General Dynamics,USA,1963,21:45:00,Atlas-LV3 Agena-D,KH-7 Gambit 4004,Retired,,Success,263,1
RVSN USSR,Kazakhstan,1963,09:28:00,Vostok-2,Cosmos 24,Retired,,Success,264,1
NASA,USA,1963,18:49:00,Scout X-4,Explorer 19 (AD-A),Retired,,Success,265,1
