Country,Count
USA,1467
Russia,1416
Kazakhstan,719
China,365
France,318
Japan,130
India,82
New Zealand,28
Iran,16
Israel,11
Kenya,9
Australia,6
North Korea,5
South Korea,5
Brazil,3
